iso,year,quarter,date,qGDP_growth,qGDP_growth_res,date_fe,dNL_res,dhits_res
"BEN",2021,1,2021q1,3.825871,2.733414,1.092458,25.33572,22.5715
"BEN",2021,2,2021q2,7.881118,-3.860935,11.74205,.6139911,8.453146
"BFA",2014,1,2014q1,8.892621,5.199803,3.692818,-17.59966,-33.15131
"BFA",2014,2,2014q2,4.305949,.6383477,3.667601,-23.20152,-2.601769
"BFA",2014,3,2014q3,3.246719,-.6082174,3.854937,-6.591227,6.714487
"BFA",2014,4,2014q4,3.052921,-.7739385,3.826859,-69.22161,12.94083
"BFA",2015,1,2015q1,3.052921,-.3154902,3.368411,31.56524,-7.503582
"BFA",2015,2,2015q2,3.729578,.7419819,2.987597,29.32206,4.387959
"BFA",2015,3,2015q3,3.922071,.5973808,3.32469,1.882463,35.18713
"BFA",2015,4,2015q4,4.592893,1.921188,2.671705,48.49871,-41.32428
"BFA",2016,1,2016q1,5.164323,1.79242,3.371903,-54.51795,63.14032
"BFA",2016,2,2016q2,5.732507,2.308693,3.423814,-17.35342,6.189055
"BFA",2016,3,2016q3,6.015392,2.808399,3.206994,-23.15704,-43.73661
"BFA",2016,4,2016q4,6.203539,2.239937,3.963602,-9.866801,-11.31636
"BFA",2017,1,2017q1,6.015392,2.227717,3.787675,51.22812,16.71547
"BFA",2017,2,2017q2,6.015392,2.372216,3.643177,43.58233,24.27403
"BFA",2017,3,2017q3,6.015392,1.961174,4.054218,79.7906,36.25538
"BFA",2017,4,2017q4,6.203539,2.333262,3.870277,62.16227,7.125015
"BFA",2018,1,2018q1,6.485097,2.514727,3.970371,6.122478,-60.14281
"BFA",2018,2,2018q2,6.765865,3.015494,3.750371,23.26222,-17.30619
"BFA",2018,3,2018q3,6.672363,3.125539,3.546824,25.74818,-31.80854
"BFA",2018,4,2018q4,6.10951,3.057462,3.052048,-9.196514,-7.895591
"BFA",2019,1,2019q1,5.732507,2.857279,2.875228,-19.90055,-8.52547
"BFA",2019,2,2019q2,6.015392,2.685482,3.329911,-35.46827,9.037704
"BFA",2019,3,2019q3,5.448819,2.133255,3.315564,-46.58213,1.259515
"BFA",2019,4,2019q4,4.210118,1.342791,2.867327,-18.30908,.7946762
"BFA",2020,1,2020q1,2.858746,1.979594,.8791518,14.8479,-12.73177
"BFA",2020,2,2020q2,2.078254,12.83253,-10.75428,14.82064,-5.331036
"BFA",2020,3,2020q3,2.273949,6.263851,-3.989902,31.23201,2.880031
"BFA",2020,4,2020q4,2.566775,4.429736,-1.862961,42.88759,1.082877
"BFA",2021,1,2021q1,3.052921,1.960463,1.092458,11.00742,10.32802
"BFA",2021,2,2021q2,6.859279,-4.882773,11.74205,6.014462,20.30404
"BGR",2014,1,2014q1,-.0392715,-3.732089,3.692818,-6.51698,-12.50409
"BGR",2014,2,2014q2,1.185645,-2.481956,3.667601,14.31069,-21.49324
"BGR",2014,3,2014q3,.4540566,-3.40088,3.854937,4.017742,-18.93264
"BGR",2014,4,2014q4,2.000809,-1.82605,3.826859,18.41577,-10.71093
"BGR",2015,1,2015q1,3.514371,.1459606,3.368411,-4.479383,-10.91106
"BGR",2015,2,2015q2,2.81866,-.1689368,2.987597,-4.555727,3.71491
"BGR",2015,3,2015q3,3.596555,.271865,3.32469,-6.241821,3.865598
"BGR",2015,4,2015q4,3.528152,.8564469,2.671705,-35.38384,-4.211913
"BGR",2016,1,2016q1,3.244019,-.1278847,3.371903,25.00563,-.0898188
"BGR",2016,2,2016q2,3.539696,.1158827,3.423814,-8.731773,-2.404153
"BGR",2016,3,2016q3,2.035845,-1.171148,3.206994,8.142831,-4.032411
"BGR",2016,4,2016q4,3.270182,-.6934197,3.963602,24.61348,6.21532
"BGR",2017,1,2017q1,2.737098,-1.050577,3.787675,-6.441813,-2.559244
"BGR",2017,2,2017q2,2.728053,-.9151236,3.643177,-17.59831,3.359908
"BGR",2017,3,2017q3,3.128557,-.9256614,4.054218,-21.25461,4.309364
"BGR",2017,4,2017q4,2.32068,-1.549597,3.870277,-33.4846,-3.838903
"BGR",2018,1,2018q1,2.678117,-1.292254,3.970371,-20.55099,2.960515
"BGR",2018,2,2018q2,2.573287,-1.177083,3.750371,12.3451,-10.67859
"BGR",2018,3,2018q3,2.875411,-.6714133,3.546824,-5.018275,-4.444602
"BGR",2018,4,2018q4,2.473728,-.5783209,3.052048,-2.118774,-7.068572
"BGR",2019,1,2019q1,4.971858,2.09663,2.875228,11.26263,-9.049302
"BGR",2019,2,2019q2,4.24226,.91235,3.329911,1.786561,3.386479
"BGR",2019,3,2019q3,3.36831,.0527462,3.315564,10.14333,.0473839
"BGR",2019,4,2019q4,3.538996,.6716691,2.867327,11.97039,1.279207
"BGR",2020,1,2020q1,-.3442449,-1.223397,.8791521,-21.37985,2.437479
"BGR",2020,2,2020q2,-10.18431,.5699675,-10.75428,-13.49633,-16.89308
"BGR",2020,3,2020q3,-2.969352,1.02055,-3.989902,-9.774633,-15.48727
"BGR",2020,4,2020q4,-4.211043,-2.348082,-1.862961,-12.62212,-6.449263
"BGR",2021,1,2021q1,.156996,-.9354616,1.092458,14.88853,-11.75288
"BGR",2021,2,2021q2,6.286847,-5.455206,11.74205,-8.770346,9.751867
"BIH",2014,1,2014q1,3.457092,-.2357261,3.692818,-25.48294,10.88343
"BIH",2014,2,2014q2,-.620754,-4.288355,3.667601,25.2666,77.53431
"BIH",2014,3,2014q3,-.7877249,-4.642662,3.854937,41.97501,-5.046983
"BIH",2014,4,2014q4,2.354187,-1.472673,3.826859,18.55947,-7.668487
"BIH",2015,1,2015q1,.9175988,-2.450812,3.368411,10.22098,-18.51964
"BIH",2015,2,2015q2,4.242193,1.254596,2.987597,-8.204395,-83.38541
"BIH",2015,3,2015q3,5.883865,2.559174,3.32469,-25.83992,-4.432013
"BIH",2015,4,2015q4,4.973164,2.301459,2.671705,-41.26302,-4.936026
"BIH",2016,1,2016q1,3.904797,.5328937,3.371903,34.28648,.16634
"BIH",2016,2,2016q2,2.154584,-1.26923,3.423814,-12.68144,1.043013
"BIH",2016,3,2016q3,5.209699,2.002706,3.206994,26.78975,-5.418488
"BIH",2016,4,2016q4,3.398963,-.5646389,3.963602,32.62914,7.581867
"BIH",2017,1,2017q1,2.457867,-1.329808,3.787675,-24.0202,17.67157
"BIH",2017,2,2017q2,4.811877,1.168701,3.643177,-28.03444,20.74221
"BIH",2017,3,2017q3,4.034014,-.0202042,4.054218,-20.32709,20.15842
"BIH",2017,4,2017q4,3.611547,-.25873,3.870277,-40.94357,10.71386
"BIH",2018,1,2018q1,3.026769,-.9436014,3.970371,-10.25386,6.036189
"BIH",2018,2,2018q2,3.491455,-.2589158,3.750371,24.83806,-13.35242
"BIH",2018,3,2018q3,4.209033,.6622087,3.546824,-31.19355,.3814512
"BIH",2018,4,2018q4,2.415638,-.6364108,3.052048,4.804427,.9265066
"BIH",2019,1,2019q1,2.560244,-.3149838,2.875228,18.71792,-18.32598
"BIH",2019,2,2019q2,2.712183,-.6177279,3.329911,-1.348168,7.25793
"BIH",2019,3,2019q3,3.258838,-.0567263,3.315564,29.56303,-2.421882
"BIH",2019,4,2019q4,2.34383,-.523497,2.867327,12.36723,-7.803204
"BIH",2020,1,2020q1,1.710725,.8315727,.8791518,-30.26591,8.680391
"BIH",2020,2,2020q2,-8.967804,1.786475,-10.75428,-9.486941,3.680806
"BIH",2020,3,2020q3,-4.228316,-.2384143,-3.989902,-12.675,6.561428
"BIH",2020,4,2020q4,-1.527307,.3356542,-1.862961,-15.76509,13.4704
"BIH",2021,1,2021q1,2.451375,1.358917,1.092458,28.82027,15.35774
"BIH",2021,2,2021q2,11.00945,-.7326063,11.74205,1.1285,3.354588
"BLR",2014,1,2014q1,.8959744,-2.796843,3.692818,-46.26486,3.621167
"BLR",2014,3,2014q3,1.882198,-1.972738,3.854937,21.37555,-3.923731
"BLR",2014,4,2014q4,2.66422,-1.162639,3.826859,43.22025,6.196694
"BLR",2015,1,2015q1,-2.068135,-5.436545,3.368411,-3.497007,4.857809
"BLR",2015,3,2015q3,-4.342081,-7.666771,3.32469,-41.6703,6.874506
"BLR",2015,4,2015q4,-4.584497,-7.256203,2.671705,-55.83357,-.702779
"BLR",2016,1,2016q1,-3.612924,-6.984828,3.371904,35.13594,1.969202
"BLR",2016,3,2016q3,-3.510085,-6.717079,3.206994,-25.72401,5.210282
"BLR",2016,4,2016q4,-1.764765,-5.728366,3.963602,33.51545,-1.096557
"BLR",2017,1,2017q1,.4491114,-3.338564,3.787675,-41.47074,-3.244557
"BLR",2017,3,2017q3,2.964196,-1.090023,4.054218,51.8627,-2.472895
